participantId,idx,bot_detection,reported_ideology
32366D87147B4335A63BEC5E86F323C2,2,False,-1.0
3400CE934CB64E398E1337F02C72875C,0,False,1.0
3400CE934CB64E398E1337F02C72875C,1,False,0.0
3400CE934CB64E398E1337F02C72875C,2,True,-0.6
34589E2C06C743F2B2EC52B3ADA7FFEF,0,False,0.0
34589E2C06C743F2B2EC52B3ADA7FFEF,1,False,-0.8
34589E2C06C743F2B2EC52B3ADA7FFEF,2,False,0.0
34C73A302ED44C81BED0EAAF63D59267,0,False,1.0
34C73A302ED44C81BED0EAAF63D59267,1,False,2.0
34C73A302ED44C81BED0EAAF63D59267,2,True,-2.0
355AC6AF2D9940FDA0591C18B34B298F,0,True,-0.1
355AC6AF2D9940FDA0591C18B34B298F,1,False,0.6
355AC6AF2D9940FDA0591C18B34B298F,2,True,0.1
35A01C7CE3BE42FE8167E0B9FB7AEE54,0,True,1.0
35A01C7CE3BE42FE8167E0B9FB7AEE54,1,False,0.0
35A01C7CE3BE42FE8167E0B9FB7AEE54,2,True,0.0
364BA2EEA202439CA73EC72F6571CDBD,0,False,-1.1
364BA2EEA202439CA73EC72F6571CDBD,1,False,-2.0
364BA2EEA202439CA73EC72F6571CDBD,2,False,1.0
3679C528C6494CEC85603CE244070DF7,0,True,-0.7
3679C528C6494CEC85603CE244070DF7,1,False,-1.4
3679C528C6494CEC85603CE244070DF7,2,True,-0.5
369DA27561CA43B7B8CBA81044E94B92,0,True,0.0
369DA27561CA43B7B8CBA81044E94B92,1,False,0.0
369DA27561CA43B7B8CBA81044E94B92,2,True,0.0
36A95EA2592748F6926A403C024A31C4,0,False,-0.8
36A95EA2592748F6926A403C024A31C4,1,False,0.0
36A95EA2592748F6926A403C024A31C4,2,False,-1.0
39AEB6B776C04EB099FFF56DE62B14C4,0,False,-0.4
39AEB6B776C04EB099FFF56DE62B14C4,1,False,-1.2
39AEB6B776C04EB099FFF56DE62B14C4,2,False,0.0
3AC52CBC50AB48508580FCE92161CB52,0,False,0.0
3AC52CBC50AB48508580FCE92161CB52,1,False,-1.5
3AC52CBC50AB48508580FCE92161CB52,2,False,0.0
3B6C3184A4E244F597BC4C2CB138C46C,0,False,0.0
3B6C3184A4E244F597BC4C2CB138C46C,1,False,0.0
3B6C3184A4E244F597BC4C2CB138C46C,2,True,0.0
3D18040236CD496FA2BD532C4AD2AD72,0,False,-0.2
3D18040236CD496FA2BD532C4AD2AD72,1,False,0.0
3D18040236CD496FA2BD532C4AD2AD72,2,False,-0.3
3D3389D78763418C84595AE9C4CBE9B7,0,False,0.9
3D3389D78763418C84595AE9C4CBE9B7,1,False,-1.9
3D3389D78763418C84595AE9C4CBE9B7,2,True,-0.8
3D8362A689CD476CA4F107F26959FDE0,0,True,0.0
3D8362A689CD476CA4F107F26959FDE0,1,False,-1.0
3D8362A689CD476CA4F107F26959FDE0,2,True,-1.0
3D85EB88F85D4467A3F5EDEA63FCDD5B,0,False,-2.0
3D85EB88F85D4467A3F5EDEA63FCDD5B,1,False,-2.0
3D85EB88F85D4467A3F5EDEA63FCDD5B,2,False,-1.0
3D9AD46E1C594015A116575ED542AB70,0,False,-2.0
3D9AD46E1C594015A116575ED542AB70,1,False,-1.6
3D9AD46E1C594015A116575ED542AB70,2,False,-1.6
3E87865D3C4445FF9837B8EB5C08AFEC,0,False,0.0
3E87865D3C4445FF9837B8EB5C08AFEC,1,False,0.0
3E87865D3C4445FF9837B8EB5C08AFEC,2,False,0.0
3F3AB598F9EF4B15AC148DE7C52570D9,0,False,0.9
3F3AB598F9EF4B15AC148DE7C52570D9,1,False,0.0
3F3AB598F9EF4B15AC148DE7C52570D9,2,False,0.0
3F48CFE9849847FF8CD9A23CA9294B09,0,False,-0.1
3F48CFE9849847FF8CD9A23CA9294B09,1,False,-1.8
3F48CFE9849847FF8CD9A23CA9294B09,2,False,0.1
3FF9F21BB7C84304B97337DAA3768D5E,0,True,0.0
3FF9F21BB7C84304B97337DAA3768D5E,1,False,0.0
3FF9F21BB7C84304B97337DAA3768D5E,2,True,0.0
4018462924D142BABFB5E88C03359F1F,0,False,-1.0
4018462924D142BABFB5E88C03359F1F,1,False,1.1
4018462924D142BABFB5E88C03359F1F,2,True,-0.7
40EF20BE931844ECBA7F6012122CEFE6,0,False,1.6
40EF20BE931844ECBA7F6012122CEFE6,1,False,1.6
40EF20BE931844ECBA7F6012122CEFE6,2,False,1.5
415920631C804F14A78E5693F206DB05,0,False,-0.3
415920631C804F14A78E5693F206DB05,1,False,1.0
415920631C804F14A78E5693F206DB05,2,False,0.1
43525690125D44EE930AD12BBE9F05C4,0,False,-0.8
43525690125D44EE930AD12BBE9F05C4,1,False,2.0
43525690125D44EE930AD12BBE9F05C4,2,False,-0.9
43B855133D564B08915DB2CA1A724E7E,0,False,0.0
43B855133D564B08915DB2CA1A724E7E,1,False,0.0
43B855133D564B08915DB2CA1A724E7E,2,False,0.0
43FE57D7E96A4B41B5CD5D4759051CCB,0,False,0.0
43FE57D7E96A4B41B5CD5D4759051CCB,1,False,0.9
43FE57D7E96A4B41B5CD5D4759051CCB,2,False,0.0
441575BA018C4CE89F2398FC4C37893E,0,False,0.0
441575BA018C4CE89F2398FC4C37893E,1,False,0.0
441575BA018C4CE89F2398FC4C37893E,2,False,0.0
44884F26332644119B350F34C7F615E5,0,False,1.0
44884F26332644119B350F34C7F615E5,1,False,0.0
44884F26332644119B350F34C7F615E5,2,False,1.0
454EAC793A894DF0866E102219C00381,0,False,-0.3
454EAC793A894DF0866E102219C00381,1,False,0.6
454EAC793A894DF0866E102219C00381,2,False,0.0
47FDBD463AEA4B3697C720C600B69789,0,True,-0.8
47FDBD463AEA4B3697C720C600B69789,1,False,2.0
47FDBD463AEA4B3697C720C600B69789,2,True,-0.8
4A2480E43E754801B82E9E998EC7D3D7,0,False,-0.9
4A2480E43E754801B82E9E998EC7D3D7,1,False,-1.3
4A2480E43E754801B82E9E998EC7D3D7,2,False,-0.9
4A6A4EFD26554DB39F806A95F67D74C3,0,True,0.0
4A6A4EFD26554DB39F806A95F67D74C3,1,False,0.0
4A6A4EFD26554DB39F806A95F67D74C3,2,True,0.0
4A9E82BCFAAD441786F6E6E218B3381A,0,False,-1.0
4A9E82BCFAAD441786F6E6E218B3381A,1,False,-2.0
4A9E82BCFAAD441786F6E6E218B3381A,2,False,-0.9
4CE09503493040F0B389B919B8133C2C,0,False,0.0
4CE09503493040F0B389B919B8133C2C,1,False,0.0
4CE09503493040F0B389B919B8133C2C,2,False,0.0
4D3A556FF44841E7A7154213519DBB31,0,False,0.4
4D3A556FF44841E7A7154213519DBB31,1,False,-0.6
4D3A556FF44841E7A7154213519DBB31,2,False,-1.2
4D739BCC8D854A83B63D9EB209B1C7E9,0,False,0.0
4D739BCC8D854A83B63D9EB209B1C7E9,1,False,0.0
4D739BCC8D854A83B63D9EB209B1C7E9,2,False,0.0
5089E978ED0841A88AD544026D5E28D0,0,True,0.0
5089E978ED0841A88AD544026D5E28D0,1,False,0.0
5089E978ED0841A88AD544026D5E28D0,2,True,0.0
50A9D1C2EAE14B39BE2A8F4395A34E61,0,False,0.0
50A9D1C2EAE14B39BE2A8F4395A34E61,1,False,-1.0
50A9D1C2EAE14B39BE2A8F4395A34E61,2,False,0.0
5105ADD2460247C7905BA2514F5F4F48,0,True,0.0
5105ADD2460247C7905BA2514F5F4F48,1,False,0.0
5105ADD2460247C7905BA2514F5F4F48,2,True,0.0
5186041E1D054D4D8C9A1A1285726503,0,False,0.4
5186041E1D054D4D8C9A1A1285726503,1,False,-0.5
5186041E1D054D4D8C9A1A1285726503,2,False,-0.3
5227792AC8DE4932B94185303450E897,0,True,0.0
5227792AC8DE4932B94185303450E897,1,False,0.0
5227792AC8DE4932B94185303450E897,2,False,0.0
5547813AE2834264A089C6494423433C,0,False,0.0
5547813AE2834264A089C6494423433C,1,False,0.0
5547813AE2834264A089C6494423433C,2,False,0.0
55BEBD7D848544BFA2B64EEE1A81BE3A,0,False,0.8
55BEBD7D848544BFA2B64EEE1A81BE3A,1,False,1.5
55BEBD7D848544BFA2B64EEE1A81BE3A,2,False,0.9
55CC388FCD7E42AFB788E54614BCDC87,0,True,1.1
55CC388FCD7E42AFB788E54614BCDC87,1,False,1.1
55CC388FCD7E42AFB788E54614BCDC87,2,False,1.2
568D96A1613942D5ACB4B0253518188D,0,False,1.0
568D96A1613942D5ACB4B0253518188D,1,False,-1.0
568D96A1613942D5ACB4B0253518188D,2,True,1.0
574F4190651F4832972C9E78DE21BA0E,0,False,0.0
574F4190651F4832972C9E78DE21BA0E,1,False,0.0
574F4190651F4832972C9E78DE21BA0E,2,False,0.0
595DA76E0EEE4422825351456B93BD6B,0,False,-2.0
595DA76E0EEE4422825351456B93BD6B,1,False,-1.0
595DA76E0EEE4422825351456B93BD6B,2,False,-2.0
5AD641172DD8454CB4BACCE679A7EA1E,0,False,0.0
